Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agdash district,853.0,942.0,1101.0,1175.0,1204.0,1221.0,1262.0,1335.0,1525.0,1617.0,1486.0,1767.0,1799.0,1900.0,773.0,723.0,286.0,287.0,335.0,349.0,312.1,337.7,342.0,275.7
Goychay district,340.0,572.0,666.0,643.0,649.0,507.0,456.0,477.0,666.0,678.0,710.0,722.0,724.0,725.0,727.0,731.0,686.0,664.0,369.0,356.0,299.8,278.2,221.6,236.3
Kurdamir district,740.0,557.0,960.0,1092.0,1212.0,1435.0,1466.0,1167.0,1649.0,1305.0,960.0,1286.0,1267.0,1184.0,1154.0,1064.0,948.0,799.0,755.0,740.0,692.1,666.1,639.1,641.7
Ujar district,413.0,473.0,559.0,629.0,743.0,757.0,732.0,718.0,721.0,725.0,774.0,709.0,712.0,781.0,788.0,802.0,802.0,804.0,847.0,860.0,848.0,835.0,835.0,776.0
Yevlakh district,120.0,191.0,205.0,211.0,281.0,395.0,389.0,383.0,172.0,304.0,438.0,357.0,213.0,218.0,178.0,179.0,186.0,77.0,75.0,67.0,108.5,109.1,123.4,120.3
Zardab district,18.0,21.0,26.0,10.0,10.0,48.0,48.0,47.0,40.0,40.0,40.0,15.0,15.0,10.0,10.0,9.0,26.0,37.0,22.0,28.0,27.9,27.0,23.3,26.9
Mil-Mughan economic region,1032.0,1232.0,1538.0,1469.0,1182.0,1232.0,1424.0,1510.0,1419.0,2152.0,2001.0,1599.0,1454.0,1562.0,1499.0,1454.0,1364.0,1271.0,1400.0,1398.0,1405.1,1520.3,1497.1,1482.6
Beylagan district,114.0,120.0,262.0,196.0,195.0,205.0,211.0,257.0,272.0,347.0,327.0,340.0,415.0,428.0,374.0,372.0,337.0,121.0,280.0,295.0,320.0,311.0,313.0,313.0
Imishli district,241.0,250.0,320.0,382.0,310.0,300.0,280.0,310.0,252.0,264.0,157.0,149.0,92.0,95.0,70.0,73.0,45.0,47.0,44.0,46.0,42.8,64.4,62.0,47.4
Saatli district,168.0,198.0,276.0,309.0,250.0,299.0,252.0,290.0,228.0,256.0,182.0,324.0,288.0,255.0,268.0,286.0,215.0,246.0,219.0,193.0,163.3,235.8,203.1,203.2
Sabirabad district,509.0,664.0,680.0,582.0,427.0,428.0,681.0,653.0,667.0,1285.0,1335.0,786.0,659.0,784.0,787.0,723.0,767.0,857.0,857.0,864.0,879.0,909.1,919.0,919.0
Shaki-Zagatala economic region,1097.0,1199.0,1365.0,1448.0,1644.0,1663.0,1741.0,1805.0,1841.0,1701.0,1629.0,1631.0,1668.0,1644.0,1677.0,1675.0,1750.0,1520.0,1508.0,1472.0,1369.0,1358.5,1353.5,1341.8
Balakan district,246.0,270.0,284.0,305.0,325.0,342.0,340.0,353.0,353.0,358.0,323.0,337.0,346.0,376.0,371.0,373.0,372.0,361.0,474.0,479.0,401.0,397.0,404.0,409.0
Gakh district,93.0,100.0,120.0,127.0,132.0,133.0,136.0,173.0,184.0,151.0,191.0,141.0,99.0,88.0,89.0,89.0,144.0,121.0,135.0,140.0,114.4,118.5,112.3,111.4
Gabala district,354.0,388.0,355.0,370.0,436.0,448.0,495.0,487.0,490.0,406.0,408.0,419.0,421.0,425.0,425.0,426.0,422.0,231.0,141.0,90.0,97.0,88.0,85.0,85.0
Oghuz district,41.0,47.0,54.0,55.0,79.0,75.0,79.0,83.0,75.0,67.0,63.0,64.0,63.0,69.0,69.0,69.0,68.0,67.0,54.0,54.0,54.5,55.9,56.1,52.8
Shaki district,161.0,136.0,194.0,220.0,254.0,243.0,269.0,285.0,325.0,286.0,262.0,268.0,248.0,248.0,262.0,257.0,282.0,261.0,226.0,228.0,215.1,211.1,206.1,192.6
Zagatala district,202.0,258.0,358.0,371.0,418.0,422.0,422.0,424.0,414.0,433.0,382.0,402.0,491.0,438.0,461.0,461.0,462.0,479.0,478.0,481.0,487.0,488.0,490.0,491.0
Eastern Zangazur economic region,,,,,,,2.0,1.0,7.2,27.0,17.0,19.0,20.0,27.0,27.0,26.0,32.0,33.0,36.0,35.0,35.1,33.5,33.3,34.0
Jabrayil district,,,,,,,2.0,,,21.0,15.0,17.0,18.0,23.0,24.0,25.0,30.0,31.0,32.0,32.0,32.0,32.2,32.0,32.2
Kalbajar district,,,,,,,,,,,,,,,,,,,1.0,,,,,
Gubadli district,,,,,,,,1.0,0.2,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,0.4
Lachin district,,,,,,,,,7.0,3.0,1.0,1.0,,3.0,1.0,,,1.0,1.0,1.0,1.0,,,
Zangilan district,,,,,,,,,,,,,,,,,,,2.0,2.0,2.1,1.3,1.3,1.4
Shirvan-Salyan economic region,973.0,1576.0,1733.0,1386.0,1537.0,1559.0,1676.0,1753.0,2181.0,2163.0,2387.0,2409.0,2244.0,2097.0,2288.0,2619.0,2065.0,1835.0,1253.0,1552.0,1406.8,1395.6,1329.4,1437.8
Shirvan city,1.0,10.0,10.0,30.0,30.0,30.0,11.0,25.0,25.0,26.0,23.0,24.0,22.0,21.0,22.0,35.0,28.0,30.0,32.0,26.0,25.2,26.4,30.2,35.3
Bilasuvar district,361.0,546.0,576.0,624.0,590.0,537.0,559.0,547.0,1044.0,1085.0,1341.0,1310.0,1118.0,984.0,1311.0,1681.0,1150.0,1028.0,514.0,807.0,655.4,599.6,643.4,686.4
Hajigabul district,241.0,292.0,303.0,311.0,319.0,321.0,321.0,322.0,334.0,328.0,220.0,308.0,302.0,299.0,310.0,315.0,308.0,130.0,120.0,151.0,157.3,172.3,104.0,130.0
Neftchala district,63.0,68.0,65.0,72.0,74.0,70.0,77.0,81.0,52.0,51.0,44.0,65.0,51.0,54.0,51.0,45.0,48.0,50.0,38.0,35.0,33.1,37.6,36.8,34.6
Salyan district,307.0,660.0,779.0,349.0,524.0,601.0,708.0,778.0,726.0,673.0,759.0,702.0,751.0,739.0,594.0,543.0,531.0,597.0,549.0,533.0,535.8,559.8,515.0,551.5
*  It is not included sown area of covered lands in 2000-2007,,,,,,,,,,,,,,,,,,,,,,,,
