Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Gadabay district,12536.0,12517.0,12454.0,12625.0,13005.0,13015.0,13016.0,13016.0,13340.0,12985.0,13095.0,13185.0,13187.0,13006.0,12202.0,11890.0,12200.0,11963.0,11810.0,10377.0,10400.8,10044.1,9783.5,8179.4
Gazakh district,316.0,289.0,270.0,306.0,339.0,373.0,357.0,272.0,371.0,468.0,293.0,203.0,189.0,273.0,303.0,327.0,433.0,809.0,1118.0,1320.0,1051.0,1067.0,1270.0,1300.0
Shamkir district,3852.0,5124.0,5319.0,5408.0,5483.0,6033.0,6035.0,6093.0,6125.0,6188.0,6357.0,6389.0,6391.0,6397.0,6406.0,6455.0,6497.0,6489.0,6499.0,6512.0,6534.0,6562.0,6575.0,6590.0
Tovuz district,11550.0,11560.0,11580.0,11590.0,13015.0,16032.0,11265.0,10957.0,10379.0,7745.0,8408.0,6768.0,7620.0,8183.0,7244.0,7668.0,8196.0,7375.0,6628.0,6337.0,6748.7,6245.3,5947.1,5271.2
Guba-Khachmaz economic region,4330.0,4681.0,4810.0,4842.0,5127.0,5305.0,5324.0,5434.0,5282.0,4994.0,4809.0,4579.0,4659.0,4250.0,4293.0,4332.0,4436.0,4280.0,4389.0,4361.0,4384.6,4216.5,4162.0,4046.0
Khachmaz district,1273.0,1401.0,1356.0,1371.0,1488.0,1500.0,1532.0,1619.0,1630.0,1441.0,1358.0,1196.0,1089.0,1011.0,1010.0,1038.0,950.0,806.0,669.0,669.0,671.0,655.0,625.0,538.0
Guba district,1051.0,1053.0,1203.0,1247.0,1259.0,1310.0,1273.0,1298.0,1312.0,1306.0,1114.0,1047.0,1060.0,1107.0,1150.0,1158.0,1084.0,1135.0,1200.0,1205.0,1219.6,1231.0,1229.0,1297.0
Gusar district,1920.0,2103.0,2126.0,2076.0,2229.0,2338.0,2351.0,2360.0,2186.0,2093.0,2181.0,2177.0,2342.0,1988.0,1989.0,1990.0,2246.0,2176.0,2343.0,2346.0,2357.0,2194.0,2174.0,2077.0
Siyazan district,21.0,29.0,29.0,34.0,34.0,37.0,40.0,33.0,29.0,22.0,23.0,23.0,23.0,22.0,25.0,27.0,38.0,26.0,39.0,28.0,24.0,25.0,22.0,21.0
Shabran district,65.0,95.0,96.0,114.0,117.0,120.0,128.0,124.0,125.0,132.0,133.0,136.0,145.0,122.0,119.0,119.0,118.0,137.0,138.0,113.0,113.0,111.5,112.0,113.0
